,Counts
2022-09-02 10:22:30,
2022-09-02 10:27:30,
2022-09-02 10:32:30,
2022-09-02 10:37:30,
2022-09-02 10:42:30,
2022-09-02 10:47:30,
2022-09-02 10:52:30,
2022-09-02 10:57:30,
2022-09-02 11:02:30,
2022-09-02 11:07:30,
2022-09-02 11:12:30,
2022-09-02 11:17:30,
2022-09-02 11:22:30,
2022-09-02 11:27:30,
2022-09-02 11:32:30,
2022-09-02 11:37:30,
2022-09-02 11:42:30,
2022-09-02 11:47:30,
2022-09-02 11:52:30,
2022-09-02 11:57:30,
2022-09-02 12:02:30,
2022-09-02 12:07:30,
2022-09-02 12:12:30,
2022-09-02 12:17:30,
2022-09-02 12:22:30,
2022-09-02 12:27:30,
2022-09-02 12:32:30,
2022-09-02 12:37:30,
2022-09-02 12:42:30,
2022-09-02 12:47:30,
2022-09-02 12:52:30,
2022-09-02 12:57:30,
2022-09-02 13:02:30,
2022-09-02 13:07:30,
2022-09-02 13:12:30,
2022-09-02 13:17:30,
2022-09-02 13:22:30,
2022-09-02 13:27:30,
2022-09-02 13:32:30,
2022-09-02 13:37:30,
2022-09-02 13:42:30,
2022-09-02 13:47:30,
2022-09-02 13:52:30,
2022-09-02 13:57:30,
2022-09-02 14:02:30,
2022-09-02 14:07:30,
2022-09-02 14:12:30,
2022-09-02 14:17:30,
2022-09-02 14:22:30,
2022-09-02 14:27:30,
2022-09-02 14:32:30,
2022-09-02 14:37:30,
2022-09-02 14:42:30,
2022-09-02 14:47:30,
2022-09-02 14:52:30,
2022-09-02 14:57:30,
2022-09-02 15:02:30,
2022-09-02 15:07:30,
2022-09-02 15:12:30,
2022-09-02 15:17:30,
2022-09-02 15:22:30,
2022-09-02 15:27:30,
2022-09-02 15:32:30,
2022-09-02 15:37:30,
2022-09-02 15:42:30,
2022-09-02 15:47:30,
2022-09-02 15:52:30,
2022-09-02 15:57:30,
2022-09-02 16:02:30,
2022-09-02 16:07:30,
2022-09-02 16:12:30,
2022-09-02 16:17:30,
2022-09-02 16:22:30,
2022-09-02 16:27:30,
2022-09-02 16:32:30,
2022-09-02 16:37:30,
2022-09-02 16:42:30,
2022-09-02 16:47:30,
2022-09-02 16:52:30,
2022-09-02 16:57:30,
2022-09-02 17:02:30,
2022-09-02 17:07:30,
2022-09-02 17:12:30,
2022-09-02 17:17:30,
2022-09-02 17:22:30,
2022-09-02 17:27:30,
